complex_name,dG_kcal_mol,status
"A19_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",,OK
A19_32_9-cis-Retinal,-7.61,OK
A19_33_11-cis-Retinol,-8.92,OK
A19_34_4-hydroxy-2-nonenal,-5.58,OK
A19_35_Cinnamaldehyde,-7.35,OK
A19_36_3-(4-Isopropylphenyl)-2-methylpropanal,-5.81,OK
A19_37_thiobenzaldehyde,-6.27,OK
"A19_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-5.91,OK
A19_39_4-nitrobenzaldehyde,-6.14,OK
A19_3_propylaldehyde,-5.95,OK
A19_40_Furan-2-carbaldehyde,-5.46,OK
A19_41_Indole-3-acetaldehyde,-6.77,OK
A19_42_Glutamate-5-semialdehyde,-5.56,OK
A19_43_Glutamate-1-semialdehyde,-5.7,OK
A19_44_glutarate semialdehyde,-6.39,OK
A19_45_adipate semialdehyde,-5.47,OK
A19_46_Succinic semialdehyde,-5.65,OK
A19_47_methylmalonate semialdehyde,-5.77,OK
A19_48_alpha-aminoadipate semialdehyde,-5.52,OK
A19_49_2-Aminomuconic semialdehyde,-6.22,OK
A19_4_malonaldehyde,-5.35,OK
A19_50_10-formyltetrahydrofolate,-5.47,OK
A19_51_6R-Tetrahydrofolic acid,-6.31,OK
A19_52_Triose phosphate,-6.3,OK
A19_53_Pyridoxal phosphate,-6.8,OK
A19_54_Methanol,-5.44,OK
A19_55_Ethanol,,merge_failed
A19_56_S-hydroxy-methylglutathione,-6.07,OK
A19_57_S-3-oxopropylglutathione,-6.56,OK
A19_58_S-(4-oxobutan-2-yl)glutathione,-7.46,OK
A19_59_4-Hydroxynonenal_glutathione,-7.33,OK
A19_5_butyraldehyde,-5.78,OK
A19_60_S-Formylglutathione,-6.34,OK
A19_6_amylaldehyde,-5.77,OK
A19_7_glutaraldehyde,-5.67,OK
A19_8_hexanal,-6.09,OK
A19_9_2-hydroxypropionaldehyde,-5.92,OK
B1_10_4-guanidinobutyraldehyde,-5.89,OK
B1_11_prop-2-enal,-5.7,OK
B1_12_prop-2-ynal,-5.43,OK
B1_13_(2E)-but-2-enal,-5.63,OK
B1_14_trans-2-Hexenal,-6.54,OK
B1_15_heptanal,-6.95,OK
B1_16_octanaldehyde,-7.18,OK
B1_17_nonanal,-7.48,OK
B1_18_decanal,-7.49,OK
B1_19_dodecanal,-8.2,OK
B1_1_formaldehyde,-5.47,OK
B1_20_Citral,-7.23,OK
B1_21_cis-2-Octenal,,merge_failed
B1_22_trans-2-Octenal,-5.99,OK
B1_23_4-Hydroxynonenal,-6.79,OK
B1_24_Tetradecanal,-8.3,OK
B1_25_hexadecanal,-8.23,OK
B1_26_trans-2-hexadecenal,-7.31,OK
B1_27_Benzaldehyde,-6.13,OK
B1_28_Phenylacetaldehyde,-6.43,OK
B1_29_Salicylaldehyde,-5.96,OK
